Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:256, lstm_num_layers: 2, Testing - Loss: 1.0505 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:256, lstm_num_layers: 3, Testing - Loss: 0.9154 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.5, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 4.2721 Precision: 0.0679, Recall: 1.0000, F1: 0.1259
Fold_time: 0.5, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 2, Testing - Loss: 2.0316 Precision: 0.0792, Recall: 1.0000, F1: 0.1448
Fold_time: 0.5, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 3, Testing - Loss: 1.0059 Precision: 1.0000, Recall: 0.4069, F1: 0.5623
Fold_time: 0.5, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 1, Testing - Loss: 1.9396 Precision: 0.0675, Recall: 1.0000, F1: 0.1252
Fold_time: 1, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 10.8856 Precision: 0.1457, Recall: 1.0000, F1: 0.2497
Fold_time: 1, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 2, Testing - Loss: 1.2965 Precision: 0.2489, Recall: 1.0000, F1: 0.3773
Fold_time: 1, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 1, Testing - Loss: 1.3519 Precision: 0.1442, Recall: 1.0000, F1: 0.2468
Fold_time: 1, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 2, Testing - Loss: 1.4005 Precision: 0.5318, Recall: 0.9578, F1: 0.6233
Fold_time: 1, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 3, Testing - Loss: 2.6168 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
